Feature	Intercept	Avg	Std	Std/Avg	#species	#genes	avg-genes-per-species	std	length	%min_0.05	%min_0.1	%min_0.2	%min_0.3	%min_0.4	%min_0.5	mean_cons	med_cons	q1	q2	q3	q4	q5	q6	q7	q8	q9	GC_Max	GC_Min	GC_Mean	GC_Median	GC_Std	GC_MAD	Recall_normByKOtop20	Precision_normByKOtop20	Recall_highestGenes	Precision_highestGenes
23	1.000000	0.000000	-0.016331	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.022664	-7.906406e-05	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020064	0.000000	-5.891687e-04	-0.016012	-0.082609	0.000000	0.010796	0.000000	0.000000	0.001452
24	1.000000	-0.002831	-0.011464	0.000000	0.007713	0.000000	0.000000	0.000000	0.000000	-0.001599	-0.003478	-0.002076	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001649	-0.007960	-0.005858	0.000000	0.000000	0.003677	0.000000	0.000000	0.000000	-0.019457	0.000000	-0.004114	-0.006584	-0.037008	-0.019249	0.010434	0.000000	0.000000	0.014310
25	1.000000	-0.007789	-0.007122	0.000000	0.009614	0.001803	0.000000	0.000000	0.000000	-0.002648	-0.003634	-0.004200	-0.003766	-0.002041	-0.001303	0.000000	0.000000	0.000000	-0.005812	0.000000	0.000000	0.000000	0.005156	0.000000	0.000000	0.000000	-0.013661	0.000000	-0.006441	-0.011823	-0.030945	-0.022675	0.008021	0.000000	0.000000	0.007090
26	1.000000	0.000000	-0.011021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.008927	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006487	0.000000	0.000000	-0.011850	-0.084420	0.000000	0.000000	0.000000	0.000000	0.005704
27	1.000000	-0.010651	0.000000	0.000000	0.017645	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048379	-0.027704	-0.029705	0.000000	0.000000	0.000000	0.000000
28	1.000000	0.000000	-0.012129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-9.704265e-04	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004840	0.000000	0.000000	0.000000	-0.065859	0.000000	8.211074e-04	0.000000	0.000000	0.000000
29	1.000000	-0.020625	0.000000	0.000000	0.016048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017022	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002656	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.024720	-0.053047	-0.022217	0.000000	0.000000	0.000000	0.000000
30	1.000000	0.000000	0.000000	0.000000	0.021474	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.042736	0.000000	0.000000	0.015381	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.062117	-0.013806	-0.029263	0.000000	0.009339	0.000000	0.003151
31	1.000000	-0.012294	-0.001468	0.000000	0.003806	0.001431	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001171	-0.002185	-0.006610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011483	-0.025330	-0.013311	0.001109	0.000000	0.000000	2.409981e-04
32	1.000000	-0.020112	-2.762095e-04	0.000000	0.001748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013188	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002423	0.000000	0.000000	-0.029931	-0.069896	-0.004404	0.006754	0.000000	0.000000	0.012686
